kind,path,classification,file_count,frontmatter_count,symlink
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents/solve/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/agents/visualize/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/book/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/deeptutor/tutorbot/skills,canonical-source,13,13,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/tests/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/web/app/(utility)/space/skills,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/deeptutor-mimic/web/app/(workspace)/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/tests/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/deeptutor/web/app/(utility)/space/skills,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/deeptutor/web/app/(workspace)/agents,canonical-source,0,0,False
skill,/Users/steven/.agent-skills/skills,canonical-source,326,326,False
agent,/Users/steven/.agent-skills/skills/.system/imagegen/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/.system/openai-docs/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/.system/plugin-creator/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/.system/skill-creator/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/.system/skill-installer/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/agmsg/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/ask-matt/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/chat-history-export/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/claude-handoff/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/code-review/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/codebase-design/agents,canonical-source,0,0,False
agent,/Users/steven/.agent-skills/skills/diagnosing-bugs/agents,canonical-source,0,0,False
